,location,time,gdp,change
792,NLD,1975-01-01,6769.615759,0.08458841293961528
793,NLD,1976-01-01,7421.69709,0.09632471830222822
794,NLD,1977-01-01,7985.376684,0.0759502290600762
795,NLD,1978-01-01,8693.164893,0.08863554432168086
796,NLD,1979-01-01,9536.15093,0.09697113161615034
797,NLD,1980-01-01,10647.660122,0.11655742449537754
798,NLD,1981-01-01,11470.262865,0.07725666799791586
799,NLD,1982-01-01,11976.0613,0.04409649900381751
800,NLD,1983-01-01,12657.083121,0.056865258446865186
801,NLD,1984-01-01,13455.947346,0.06311598157039566
802,NLD,1985-01-01,14180.873351,0.05387402212267833
803,NLD,1986-01-01,14789.536998,0.042921450035873665
804,NLD,1987-01-01,15357.507781,0.0384035540177361
805,NLD,1988-01-01,16335.205787,0.06366254342449951
806,NLD,1989-01-01,17617.778874,0.07851588181525737
807,NLD,1990-01-01,18905.126732,0.07307095106635986
808,NLD,1991-01-01,19850.163276,0.049988373915546
809,NLD,1992-01-01,20493.984781,0.032434065959468406
810,NLD,1993-01-01,21095.377816,0.029344856133471486
811,NLD,1994-01-01,22051.024983,0.045301258661277766
812,NLD,1995-01-01,23094.265071,0.04731027645219554
813,NLD,1996-01-01,24232.345034,0.04927976532273859
814,NLD,1997-01-01,25712.794657,0.0610939478173822
815,NLD,1998-01-01,27338.059543,0.06320841074183048
816,NLD,1999-01-01,28951.737934,0.059026807973032946
817,NLD,2000-01-01,31579.62825,0.09076796432707024
818,NLD,2001-01-01,32918.784018,0.04240568500042419
819,NLD,2002-01-01,33995.119527,0.032696697071540104
820,NLD,2003-01-01,33706.217901,-0.008498326525092637
821,NLD,2004-01-01,35453.338412,0.0518337748878126
822,NLD,2005-01-01,37271.890237,0.05129423367319541
823,NLD,2006-01-01,40633.421761,0.09018945652139188
824,NLD,2007-01-01,43471.864513,0.06985487879153562
825,NLD,2008-01-01,45859.478467,0.054923201034682956
826,NLD,2009-01-01,44102.020271,-0.0383226816952279
827,NLD,2010-01-01,44594.618107,0.011169507269124246
828,NLD,2011-01-01,46066.856647,0.03301381652080804
829,NLD,2012-01-01,46715.500955,0.01408049854519966
830,NLD,2013-01-01,48723.158333,0.04297625706580632
831,NLD,2014-01-01,49061.206606,0.006938143678814956
832,NLD,2015-01-01,49610.197201,0.011189912213305897
833,NZL,1970-01-01,3857.243972,-0.9222489691711556
834,NZL,1971-01-01,4232.126746,0.09718928248285552
835,NZL,1972-01-01,4606.364573,0.0884278400578884
836,NZL,1973-01-01,5005.316055,0.08660875093092635
837,NZL,1974-01-01,5637.91128,0.1263846714271073
838,NZL,1975-01-01,6239.410107,0.10668823915937886
839,NZL,1976-01-01,6550.327343,0.049831190876711506
840,NZL,1977-01-01,6470.044118,-0.01225636839138955
841,NZL,1978-01-01,7225.937041,0.11682963967696391
842,NZL,1979-01-01,7730.755896,0.06986206109126814
843,NZL,1980-01-01,8490.703562,0.09830185769973787
844,NZL,1981-01-01,9539.01172,0.12346540546906914
845,NZL,1982-01-01,10368.243795,0.0869306065806994
846,NZL,1983-01-01,11137.33943,0.07417800451132228
847,NZL,1984-01-01,12163.204113,0.09211039040766678
848,NZL,1985-01-01,12509.917482,0.02850510159814168
849,NZL,1986-01-01,13254.74802,0.05953920472071106
850,NZL,1987-01-01,13409.560725,0.011679792385822951
851,NZL,1988-01-01,13774.544002,0.027218138198930486
852,NZL,1989-01-01,14365.329038,0.04288962566849541
853,NZL,1990-01-01,14681.354581,0.021999185828882162
854,NZL,1991-01-01,14522.364518,-0.010829386493107274
855,NZL,1992-01-01,14874.436759,0.024243451578674913
856,NZL,1993-01-01,15905.026499,0.06928596737462511
857,NZL,1994-01-01,17030.204733,0.07074356236192014
858,NZL,1995-01-01,17821.296668,0.04645228565379922
859,NZL,1996-01-01,18391.938618,0.032020226172691846
860,NZL,1997-01-01,19079.618935,0.037390311662250486
861,NZL,1998-01-01,19292.609629,0.011163257228858248
862,NZL,1999-01-01,20535.972938,0.06444764772159273
863,NZL,2000-01-01,21469.200776,0.04544356582556386
864,NZL,2001-01-01,22395.39641,0.04314066665375704
865,NZL,2002-01-01,23180.236524,0.035044707386806984
866,NZL,2003-01-01,23857.5822,0.029220826771922725
867,NZL,2004-01-01,25003.550354,0.04803370871336643
868,NZL,2005-01-01,25589.813404,0.023447192166700104
869,NZL,2006-01-01,27685.511556,0.0818957965388063
870,NZL,2007-01-01,29309.542149,0.05865994528275342
871,NZL,2008-01-01,29782.22922,0.016127412314972833
872,NZL,2009-01-01,30590.284623,0.027132132958581856
873,NZL,2010-01-01,31176.253725,0.019155398820951852
874,NZL,2011-01-01,32667.478716,0.04783207771382103
875,NZL,2012-01-01,32991.255545,0.009911289200333018
876,NZL,2013-01-01,36064.848879,0.09316387882866795
877,NZL,2014-01-01,36889.170931,0.02285666175298995
878,NZL,2015-01-01,37339.744644,0.012214254254799606
879,NOR,1970-01-01,3366.048749,-0.9098534609410919
880,NOR,1971-01-01,3712.701255,0.10298499274646122
881,NOR,1972-01-01,4048.788711,0.09052370037782653
882,NOR,1973-01-01,4432.216162,0.09470176844701239
883,NOR,1974-01-01,4988.369134,0.12547965885965295
884,NOR,1975-01-01,5688.860494,0.14042492469644086
885,NOR,1976-01-01,6320.745902,0.11107416127824643
886,NOR,1977-01-01,6962.723967,0.10156682058629607
887,NOR,1978-01-01,7709.413156,0.10724095807028267
888,NOR,1979-01-01,8680.877977,0.12601021651614808
889,NOR,1980-01-01,9864.26652,0.1363212967784353
890,NOR,1981-01-01,10920.178781,0.10704417392404375
891,NOR,1982-01-01,11582.556501,0.06065630730812477
892,NOR,1983-01-01,12478.772529,0.07737635710411817
893,NOR,1984-01-01,13663.897826,0.09497130380779306
894,NOR,1985-01-01,14837.576692,0.08589634385048561
895,NOR,1986-01-01,15695.915767,0.05784900680330041
896,NOR,1987-01-01,16300.359446,0.038509615365725836
897,NOR,1988-01-01,16739.980756,0.02697003777471174
898,NOR,1989-01-01,17496.575822,0.04519688983088077
899,NOR,1990-01-01,18433.367366,0.053541421677611334
900,NOR,1991-01-01,19537.715861,0.059910295990571516
901,NOR,1992-01-01,20581.466636,0.05342235409838625
902,NOR,1993-01-01,21540.026206,0.04657391948556944
903,NOR,1994-01-01,22977.32949,0.06672709077761652
904,NOR,1995-01-01,24307.632714,0.057896337543445364
905,NOR,1996-01-01,26794.438484,0.10230555148086151
906,NOR,1997-01-01,28586.331896,0.06687557244649889
907,NOR,1998-01-01,28160.564207,-0.014894100108715835
908,NOR,1999-01-01,30554.742268,0.08501882431762042
909,NOR,2000-01-01,36927.689379,0.20857472974577806
910,NOR,2001-01-01,37871.49136,0.025558110915456123
911,NOR,2002-01-01,37961.126487,0.0023668232694600277
912,NOR,2003-01-01,38529.580285,0.01497462932757454
913,NOR,2004-01-01,42515.599739,0.1034534875416695
914,NOR,2005-01-01,47775.439109,0.1237155162408563
915,NOR,2006-01-01,54107.133448,0.13253032221334893
916,NOR,2007-01-01,55848.951794,0.03219202783444408
917,NOR,2008-01-01,61678.861787,0.10438709780093536
918,NOR,2009-01-01,55456.84034,-0.10087769564371907
919,NOR,2010-01-01,57998.846799,0.045837563831895745
920,NOR,2011-01-01,62062.063396,0.07005685149364127
921,NOR,2012-01-01,65374.680813,0.053375882717001444
922,NOR,2013-01-01,67014.840748,0.025088610982156423
923,NOR,2014-01-01,65716.476348,-0.019374281659227166
924,NOR,2015-01-01,62074.760162,-0.05541557290313892
925,POL,1990-01-01,6188.104323,-0.9003120703672386
926,POL,1991-01-01,5933.325729,-0.041172317191395136
927,POL,1992-01-01,6210.772007,0.04676066858152428
928,POL,1993-01-01,6587.960744,0.060731377125883945
929,POL,1994-01-01,7078.528253,0.074464242891366
930,POL,1995-01-01,7723.972776,0.09118343530329898
931,POL,1996-01-01,8327.302071,0.07811126637766908
932,POL,1997-01-01,8999.291523,0.08069713891372055
933,POL,1998-01-01,9555.597378,0.06181662785100572
934,POL,1999-01-01,10124.60358,0.05954690005148522
935,POL,2000-01-01,10645.448165,0.05144345463844813
936,POL,2001-01-01,11126.609683,0.04519880333286097
937,POL,2002-01-01,11780.55723,0.0587732980333755
938,POL,2003-01-01,12259.488284,0.04065436334202999
939,POL,2004-01-01,13351.301467,0.0890586260786217
940,POL,2005-01-01,13897.543068,0.040912985325822326
941,POL,2006-01-01,15154.578202,0.09045017006598854
942,POL,2007-01-01,16783.384091,0.10747946048310597
943,POL,2008-01-01,18315.1311,0.09126568281431324
944,POL,2009-01-01,19265.423846,0.0518856644165655
945,POL,2010-01-01,20829.366981,0.08117875565580723
946,POL,2011-01-01,22576.020895,0.08385535266593824
947,POL,2012-01-01,23541.526159,0.04276684844023304
948,POL,2013-01-01,24444.056595,0.03833780486041083
949,POL,2014-01-01,25414.458268,0.03969888014407941
950,POL,2015-01-01,26534.934729,0.044088150500175116
951,PRT,1970-01-01,2079.619619,-0.9216271062944359
952,PRT,1971-01-01,2350.619525,0.13031224726102186
953,PRT,1972-01-01,2652.948448,0.12861669861267755
954,PRT,1973-01-01,3109.561139,0.17211517673637045
955,PRT,1974-01-01,3380.253374,0.08705158795721624
956,PRT,1975-01-01,3401.0501,0.006152416312919851
957,PRT,1976-01-01,3727.892346,0.0961003914643892
958,PRT,1977-01-01,4136.73165,0.10967036224602378
959,PRT,1978-01-01,4502.803655,0.08849305102979055
960,PRT,1979-01-01,5094.5292,0.1314126909226736
961,PRT,1980-01-01,5746.424096,0.12795979184887196
962,PRT,1981-01-01,6330.146322,0.101580081151045
963,PRT,1982-01-01,6824.153576,0.07804041626701608
964,PRT,1983-01-01,7050.728919,0.03320197010173498
965,PRT,1984-01-01,7139.266527,0.01255722763094913
966,PRT,1985-01-01,7557.893655,0.058637274069653245
967,PRT,1986-01-01,8029.666995,0.062421272584047616
968,PRT,1987-01-01,8774.90627,0.09281073243311999
969,PRT,1988-01-01,9787.739386,0.11542381021922865
970,PRT,1989-01-01,10856.955368,0.10924034037209518
971,PRT,1990-01-01,11748.270782,0.08209625846184077
972,PRT,1991-01-01,12705.521611,0.08148014688822491
973,PRT,1992-01-01,13142.018328,0.034354883676880776
974,PRT,1993-01-01,13165.116505,0.0017575821630675392
975,PRT,1994-01-01,13542.425834,0.028659778958788573
976,PRT,1995-01-01,14376.128942,0.061562316694168784
977,PRT,1996-01-01,14903.386063,0.036675875900056276
978,PRT,1997-01-01,15780.006133,0.05882019470570832
979,PRT,1998-01-01,16674.577174,0.05669015800502275
980,PRT,1999-01-01,17723.511323,0.06290619174653256
981,PRT,2000-01-01,18872.376797,0.06482154992104228
982,PRT,2001-01-01,19585.517095,0.03778751906401956
983,PRT,2002-01-01,20367.738685,0.03993877650540534
984,PRT,2003-01-01,20839.691169,0.023171570064750124
985,PRT,2004-01-01,21490.722155,0.03123995364040888
986,PRT,2005-01-01,22739.66382,0.05811538839840358
987,PRT,2006-01-01,24669.530521,0.0848678641987064
988,PRT,2007-01-01,25695.763445,0.041599207699814844
989,PRT,2008-01-01,26631.498362,0.03641592198662913
990,PRT,2009-01-01,26496.302114,-0.005076554317834048
991,PRT,2010-01-01,27360.981548,0.03263396644104266
992,PRT,2011-01-01,26780.130712,-0.021229166613814687
993,PRT,2012-01-01,26454.226804,-0.012169616030065167
994,PRT,2013-01-01,27924.693181,0.05558530921711369
995,PRT,2014-01-01,28831.652325,0.032478750549606694
996,PRT,2015-01-01,29717.618193,0.030728931453983144
997,SVK,1992-01-01,7141.648577,-0.7596830092297835
998,SVK,1993-01-01,7425.398873,0.039731764023482
999,SVK,1994-01-01,8021.024893,0.0802146834381916
1000,SVK,1995-01-01,8640.208176,0.07719503321082644
1001,SVK,1996-01-01,9360.73297,0.0833920640941741
1002,SVK,1997-01-01,10061.016757,0.07481078557035259
1003,SVK,1998-01-01,10601.776199,0.053747991387030014
1004,SVK,1999-01-01,10701.517975,0.009408025044841839
1005,SVK,2000-01-01,11322.737925,0.0580497039252974
1006,SVK,2001-01-01,12398.235682,0.09498566195949465
1007,SVK,2002-01-01,13290.175194,0.07194084181630256
1008,SVK,2003-01-01,14123.240046,0.0626827592442949
1009,SVK,2004-01-01,15170.442765,0.07414748425922202
1010,SVK,2005-01-01,16572.06374,0.09239156672695836
1011,SVK,2006-01-01,18812.959384,0.13522127836083264
1012,SVK,2007-01-01,21070.779243,0.12001407183817259
1013,SVK,2008-01-01,23574.932203,0.11884481969654326
1014,SVK,2009-01-01,22949.223461,-0.02654127429135833
1015,SVK,2010-01-01,24833.009114,0.0820849409654889
1016,SVK,2011-01-01,25836.338954,0.04040307138752497
1017,SVK,2012-01-01,26654.008772,0.03164805274678484
1018,SVK,2013-01-01,27924.838579,0.04767874948458051
1019,SVK,2014-01-01,29046.237939,0.040157774120252565
1020,SVK,2015-01-01,29939.310737,0.03074659100003041
1021,ESP,1970-01-01,2763.023507,-0.9077125211307766
1022,ESP,1971-01-01,3010.406973,0.08953360887928197
1023,ESP,1972-01-01,3366.37007,0.11824417767849749
1024,ESP,1973-01-01,3791.733761,0.12635678257441252
1025,ESP,1974-01-01,4322.686847,0.1400291052766245
1026,ESP,1975-01-01,4699.433203,0.0871555977415912
1027,ESP,1976-01-01,5061.027076,0.07694414568317898
1028,ESP,1977-01-01,5462.176273,0.07926240879095414
1029,ESP,1978-01-01,5864.93087,0.07373518847988314
1030,ESP,1979-01-01,6295.285407,0.07337759754361772
1031,ESP,1980-01-01,6939.437043,0.10232286454935613
1032,ESP,1981-01-01,7530.890927,0.08523081632343876
1033,ESP,1982-01-01,8054.457989,0.06952259262219429
1034,ESP,1983-01-01,8480.672513,0.05291659905385093
1035,ESP,1984-01-01,8901.884183,0.04966724860019367
1036,ESP,1985-01-01,9365.475919,0.05207793389239157
1037,ESP,1986-01-01,9835.321222,0.050167797884869136
1038,ESP,1987-01-01,10619.566995,0.0797376877987237
1039,ESP,1988-01-01,11525.922702,0.08534770837895178
1040,ESP,1989-01-01,12527.77608,0.08692175055331197
1041,ESP,1990-01-01,13461.971684,0.07456994745391388
1042,ESP,1991-01-01,14238.953356,0.057716781036129206
1043,ESP,1992-01-01,14664.576564,0.029891467255958926
1044,ESP,1993-01-01,14826.203596,0.01102159556360971
1045,ESP,1994-01-01,15474.835321,0.04374900970434514
1046,ESP,1995-01-01,16209.741483,0.047490402757482064
1047,ESP,1996-01-01,16919.365112,0.04377760310022327
1048,ESP,1997-01-01,17859.671011,0.05557572005660494
1049,ESP,1998-01-01,19014.397736,0.06465554288703235
1050,ESP,1999-01-01,19915.626993,0.047397202347024825
