,facility_number,facility_address,facility_city,facility_state,facility_zip
9241,374602359,8937 GRAMERCY DRIVE,SAN DIEGO,CA,92123.0
9336,374601074,223 SOUTH SIENA STREET,SAN DIEGO,CA,92114.0
9337,374600919,415 S. SIENA STREET,SAN DIEGO,CA,92114.0
9353,374601421,2562 MOONSTONE DRIVE,SAN DIEGO,CA,92123.0
9428,374602294,6530 BOON LAKE AVE,SAN DIEGO,CA,92119.0
9628,374603443,1903 OLIVE AVENUE,SAN DIEGO,CA,92139.0
9634,370800558,2635 SECOND AVE,SAN DIEGO,CA,92103.0
9635,370804823,2340 FOURTH AVENUE,SAN DIEGO,CA,92101.0
9648,374602530,8801 STANWELL STREET,SAN DIEGO,CA,92126.0
9653,374602372,4469 ROBBINS STREET,SAN DIEGO,CA,92122.0
9673,374603625,4518 54TH STREET,SAN DIEGO,CA,92115.0
9709,374600449,6533 PLAZA RIDGE ROAD,SAN DIEGO,CA,92114.0
9763,370804484,1576 CASTEEL COURT,SAN DIEGO,CA,92114.0
9772,374601676,6778 ANTON LANE,SAN DIEGO,CA,92114.0
9773,374602862,1903 OLIVE AVENUE,SAN DIEGO,CA,92139.0
9788,374602831,15237 CALLE JUANITO,SAN DIEGO,CA,92129.0
9846,374603178,2650 TEAL PLACE,SAN DIEGO,CA,92123.0
9871,374602692,14993 DEL DIABLO LANE,SAN DIEGO,CA,92129.0
9872,374603232,14993 DEL DIABLO LANE,SAN DIEGO,CA,92129.0
9900,374601239,4670 TWAIN AVENUE,SAN DIEGO,CA,92120.0
9989,374603183,810 TURQUOISE STREET,SAN DIEGO,CA,92109.0
9990,374603395,810 TURQUOISE ST,SAN DIEGO,CA,92109.0
10008,374601402,810 TURQUOISE STREET,SAN DIEGO,CA,92109.0
10100,374600898,7960 GAYLEN ROAD,SAN DIEGO,CA,92126.0
10169,374601661,10911 NEW SALEM COURT,SAN DIEGO,CA,92126.0
10220,374601423,6640 PARADISE CRESTVIEW WAY,SAN DIEGO,CA,92114.0
10234,374601408,8506 MIGUEL VISTA PLACE,SAN DIEGO,CA,92114.0
10263,374601991,16004 CAYENNE RIDGE RD,SAN DIEGO,CA,92127.0
10269,374603873,165 PALAWAN WAY,SAN DIEGO,CA,92114.0
10305,370804859,7229 ZEST STREET,SAN DIEGO,CA,92139.0
10308,374600190,10258 THANKSGIVING LANE,SAN DIEGO,CA,92126.0
10348,372004894,11085 ZAGALA COURT,SAN DIEGO,CA,92124.0
10394,374602117,6344 JOUGLARD ST,SAN DIEGO,CA,92114.0
10467,374602852,3090 CHAVEZ ROAD,SAN DIEGO,CA,92154.0
10496,374603112,4626 TWAIN AVE,SAN DIEGO,CA,92120.0
10526,374601647,3522 MERCER LANE,SAN DIEGO,CA,92122.0
10645,374603520,5723 BOUNTY STREET,SAN DIEGO,CA,92120.0
10802,370804416,1312 LEAF TERRACE,SAN DIEGO,CA,92114.0
10997,374603457,6281 JACKSON DRIVE,SAN DIEGO,CA,92119.0
11003,374600800,2404 LORING STREET,SAN DIEGO,CA,92109.0
11049,374600356,7930 WESTMORE ROAD,SAN DIEGO,CA,92126.0
11243,372004744,5332 MT. BURNHAM DRIVE,SAN DIEGO,CA,92111.0
11244,374603261,5332 MT BURNHAM DRIVE,SAN DIEGO,CA,92111.0
