"facility_id","address","matched","quality","matched address","lat-lon","tiger_line_id","side_of_street"
"374602806","6811 FUJI STREET, SAN DIEGO, CA, 92139","Match","Exact","6811 FUJI ST, SAN DIEGO, CA, 92139","-117.04665,32.684788","195353855","R"
"374603183","810 TURQUOISE STREET, SAN DIEGO, CA, 92109","Match","Exact","810 TURQUOISE ST, SAN DIEGO, CA, 92109","-117.25884,32.80872","195299334","L"
"374601985","6915 GLENFLORA AVE, SAN DIEGO, CA, 92119","Match","Exact","6915 GLENFLORA AVE, SAN DIEGO, CA, 92119","-117.04619,32.80064","195323345","R"
"374601408","8506 MIGUEL VISTA PLACE, SAN DIEGO, CA, 92114","Match","Exact","8506 MIGUEL VISTA PL, SAN DIEGO, CA, 92114","-117.021645,32.70209","195361313","L"
"374602801","13101 HARTFIELD AVE, SAN DIEGO, CA, 92130","Match","Exact","13101 HARTFIELD AVE, SAN DIEGO, CA, 92130","-117.2304,32.956764","195657571","R"
"374603289","3219 CANON STREET, SAN DIEGO, CA, 92106","Match","Exact","3219 CANON ST, SAN DIEGO, CA, 92106","-117.234344,32.72319","195340338","L"
"374603750","14740 VIA FIESTA, SAN DIEGO, CA, 92127","No_Match",,,,,
"374603283","10566 GABACHO DRIVE, SAN DIEGO, CA, 92124","Match","Exact","10566 GABACHO DR, SAN DIEGO, CA, 92124","-117.10106,32.831284","195321078","L"
"374603284","7141 BULLOCK DRIVE, SAN DIEGO, CA, 92114","Match","Exact","7141 BULLOCK DR, SAN DIEGO, CA, 92114","-117.04232,32.697296","195654893","R"
"370804527","3993 CASEMAN STREET, SAN DIEGO, CA, 92154","Match","Non_Exact","3993 CASEMAN AVE, SAN DIEGO, CA, 92154","-117.048515,32.57809","195358856","R"
"374600129","8933 BOGATA CR., SAN DIEGO, CA, 92126","Match","Exact","8933 BOGATA CIR, SAN DIEGO, CA, 92126","-117.13215,32.915062","195318949","R"
"374602415","10136 ZAPATA AVENUE, SAN DIEGO, CA, 92126","Match","Exact","10136 ZAPATA AVE, SAN DIEGO, CA, 92126","-117.15082,32.923805","195300689","L"
